的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
那个 na4ge5 that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex
个人 ge4ren2 individual; personal; oneself
整个 zheng3ge4 whole; entire; total"
你 ni3 拟旎薿 "尔 er3, 小 xiao3, 八 ba1" 8 你们 "你 ni3 you
你们 ni3men5 you (plural)"
不 bu4 埗步钚瓿簿布部埠  9 "不是 不能 不会 不过" "不 bu4 no; not so; (bound form) not; un-
不是 bu2shi5 fault; blame
不能 bu4neng2 cannot; must not; should not
不会 bu4hui4 improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; not at all
不过 bu4guo4 only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)"
和 he2 涸河曷菏盍盒何饸 "禾 he2, 口 kou3, 木 mu4, 十 shi2" 10 "和平 和谐 温和 平和" "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid"
有 you3 卣羑铕友槱牖黝莠 "月 yue4" 11 "还有 只有 所有 有些" "有 you3 to have; there is; (bound form) having; with; -ful; -ed
还有 hai2you3 furthermore; in addition; still; also
只有 zhi3you3 only have ...; there is only ...
所有 suo3you3 all; to have; to possess; to own
有些 you3xie1 some; somewhat"
也 ye3 冶野 "乜 mie1" 12 "也许 再也 也好 也罢" "也 ye3 (adverb) also; both ... and ... (before predicates only)
也许 ye3xu3 perhaps; maybe
再也 zai4ye3 (not) any more
也好 ye3hao3 that's fine; may as well; (reduplicated) regardless of whether ... or ...
也罢 ye3ba4 (reduplicated) whether... or...; never mind; fine (indicating acceptance or resignation)"
这 zhe4 柘䗪鹧蔗浙 "辶 chuo4, 文 wen2, 乂 yi4" 13 "这个 这样 这些 这里" "这 zhe4 (pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this
这个 zhe4ge5 (pronoun) this; (adjective) this
这样 zhe4yang4 this kind of; so; this way; like this; such
这些 zhe4xie1 these
这里 zhe4li3 here"
人 ren2 壬仁  14 "个人 女人 有人 别人" "人 ren2 person; people
个人 ge4ren2 individual; personal; oneself
女人 nü3ren5 wife
有人 you3ren2 someone; people; anyone; there is someone there; occupied (as in restroom)
别人 bie2ren5 other people; others; other person"
说 shuo1  "兑 dui4, 兄 xiong1, 口 kou3, 儿 er2" 15 "说话 说明 小说 听说" "说 shuo1 to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine
说话 shuo1hua4 to speak; to say; to talk; to gossip; to tell stories; talk; word
说明 shuo1ming2 to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption
小说 xiao3shuo1 novel; fiction
听说 ting1shuo1 to hear (sth said); one hears (that); hearsay; listening and speaking"
她 ta1 遢他铊它趿褟塌溻 "女 nü3, 也 ye3, 乜 mie1" 16 她们 "她 ta1 she
她们 ta1men5 they; them (for females)"
就 jiu4 咎臼舅鹫桕救旧柩 "京 jing1, 尤 you2, 口 kou3, 小 xiao3, 八 ba1, 尢 wang1" 17 "就是 就要 早就 就算" "就 jiu4 (after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning
就是 jiu4shi4 exactly; precisely; only; simply; just; even if
就要 jiu4yao4 will; shall; to be going to
早就 zao3jiu4 already at an earlier time
就算 jiu4suan4 (coll.) even if"
们 men5  "门 men2" 18 "我们 他们 你们 人们" "们 men5 plural marker for pronouns, and nouns referring to individuals
我们 wo3men5 we; us; ourselves; our
他们 ta1men5 they
你们 ni3men5 you (plural)
人们 ren2men5 people"
上 shang4 绱尚  19 "晚上 身上 以上 马上" "上 shang4 (bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above
晚上 wan3shang5 evening; night; in the evening
身上 shen1shang5 on the body; at hand; among
以上 yi3shang4 that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) that is all.
马上 ma3shang4 at once; right away; immediately; on horseback (i.e. by military force)"
年 nian2 黏鲇 "十 shi2" 20 "今年 年代 年轻 当年" "年 nian2 year; grain
今年 jin1nian2 this year
年代 nian2dai4 a decade of a century (e.g. the sixties); age; era; period
年轻 nian2qing1 young
当年 dang1nian2 in those days; then; in those years; during that time"
地 di4 棣缔杕娣菂递弟第 "土 tu3, 也 ye3, 十 shi2, 乜 mie1" 21 "地方 地区 地址 地上" "地 de5 -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
地方 di4fang5 area; place; space; room; territory
地区 di4qu1 local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)
地址 di4zhi3 address
地上 di4shang5 on the ground; on the floor"
对 dui4 祋队碓怼兑 "又 you4, 寸 cun4" 22 "对于 面对 对方 绝对" "对 dui4 right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair
对于 dui4yu2 regarding; as far as (sth) is concerned; with regard to
面对 mian4dui4 to face; to confront
对方 dui4fang1 the other person; the other side; the other party
绝对 jue2dui4 absolute; unconditional"
都 du1 督阇嘟厾 "者 zhe3, 日 ri4, 土 tu3, 十 shi2, 囗 wei2" 23 "都会 全都 首都 都市" "都 dou1 all; both; entirely; (used for emphasis) even; already; (not) at all
都会 du1hui4 city; metropolis
全都 quan2dou1 all; without exception
首都 shou3du1 capital (city)
都市 du1shi4 city; metropolis"
要 yao4 药鹞耀崾钥靿曜 "女 nü3, 口 kou3" 24 "需要 不要 要求 重要" "要 yao4 to want; to need; to ask for; will; shall; about to; need to; should; (bound form) important
需要 xu1yao4 to need; to want; to demand; to require; needs
不要 bu4yao4 must not
要求 yao1qiu2 to request; to require; requirement; to stake a claim; to ask; to demand
重要 zhong4yao4 important; significant; major"
着 zhe5  "目 mu4, 囗 wei2" 25 "接着 随着 跟着 穿着" "着 zhe5 aspect particle indicating action in progress
接着 jie1zhe5 to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn
随着 sui2zhe5 along with; in the wake of; following
跟着 gen1zhe5 to follow after; immediately afterwards
穿着 chuan1zhuo2 attire; clothes; dress"
去 qu4 趣阒觑 "土 tu3, 十 shi2" 26 "过去 回去 去年 失去" "去 qu4 to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
过去 guo4qu5 (verb suffix)
回去 hui2qu5 to return; to go back
去年 qu4nian2 last year
失去 shi1qu4 to lose"
到 dao4 盗道纛稻悼 "至 zhi4, 土 tu3, 十 shi2" 27 "看到 到了 得到 感到" "到 dao4 to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
看到 kan4dao4 to see
到了 dao4liao3 at last; finally; in the end
得到 de2dao4 to get; to obtain; to receive
感到 gan3dao4 to feel; to sense; to perceive"
很 hen3 狠𬣳 "彳 chi4, 艮 gen3" 28  "很 hen3 (adverb of degree); quite; very; awfully"
中 zhong1 锺柊终忠螽衷钟盅 "口 kou3" 29 "中国 其中 中心 心中" "中 zhong1 china; chinese; within; among; in; middle; center; while (doing sth); during; (dialect) ok; all right
中国 zhong1guo2 china
其中 qi2zhong1 among; in; included among these
中心 zhong1xin1 center; heart; core
心中 xin1zhong1 central point; in one's thoughts; in one's heart"
来 lai2 涞梾徕莱俫崃铼 "未 wei4, 木 mu4, 十 shi2" 30 "起来 后来 回来 下来" "来 lai2 to come; (used as a substitute for a more specific verb); for the past (amount of time); (prefix) the coming ...; (between two verbs) in order to; (after a round number) approximately
起来 qi3lai5 to stand up; to get up
后来 hou4lai2 afterwards; later; newly arrived
回来 hui2lai5 to return; to come back
下来 xia4lai5 to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)"
看 kan4 衎崁磡阚墈瞰 "目 mu4, 囗 wei2" 31 "看到 看来 查看 好看" "看 kan4 to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try
看到 kan4dao4 to see
看来 kan4lai5 apparently; it seems that
查看 cha2kan4 to look over; to examine; to check up; to ferret out
好看 hao3kan4 good-looking; nice-looking; good (of a movie, book, tv show etc); embarrassed; humiliated"
己 ji3 虮麂鱾几挤戟掎脊  32 "自己 知己 一己 异己" "己 ji3 self; oneself; sixth in order; hexa
自己 zi4ji3 oneself; one's own
知己 zhi1ji3 to know oneself; to be intimate or close; intimate friend
一己 yi1ji3 oneself
异己 yi4ji3 dissident; alien; outsider; non-self; others"
把 ba3 靶钯 "巴 ba1" 33 "把握 个把 把戏 火把" "把 ba3 to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles
把握 ba3wo4 to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
个把 ge4ba3 one or two; a couple of
把戏 ba3xi4 acrobatics; jugglery; trick; ploy
火把 huo3ba3 torch"
自 zi4 渍眦字恣 "目 mu4, 囗 wei2" 34 "自己 来自 自由 自我" "自 zi4 self; oneself; from; since; naturally; surely
自己 zi4ji3 oneself; one's own
来自 lai2zi4 to come from (a place); from: (in email header)
自由 zi4you2 freedom; liberty; free; unrestricted
自我 zi4wo3 self-; ego (psychology)"
大 da4  "人 ren2" 35 "大家 大学 大概 大陆" "大 da4 big; large; great; older (than another person); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
大家 da4jia1 everyone; influential family; great expert
大学 da4xue2 university; college
大概 da4gai4 roughly; probably; rough; approximate; about; general idea
大陆 da4lu4 mainland china (reference to the prc); continent; mainland"
又 you4 侑蚴祐诱釉幼右柚  36 "又称 又名" "又 you4 (once) again; also; both... and...; and yet; (used for emphasis) anyway
又称 you4cheng1 also known as
又名 you4ming2 also known as; alternative name; to also be called"
还 huan2 峘环锾𤩽𬘫镮圜缳 "辶 chuo4, 不 bu4" 37 "还是 还有 还给 还原" "还 hai2 still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
还是 hai2shi5 still (as before); had better; unexpectedly; or
还有 hai2you3 furthermore; in addition; still; also
还给 huan2gei3 to return sth to sb
还原 huan2yuan2 to restore to the original state; to reconstruct (an event); reduction (chemistry)"
会 hui4 秽恚绘硊𬤝荟汇诲 "人 ren2, 云 yun2, 二 er4" 38 "不会 社会 都会 会议" "会 hui4 can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association
不会 bu4hui4 improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; not at all
社会 she4hui4 society
都会 du1hui4 city; metropolis
会议 hui4yi4 meeting; conference"
那 na4 𦰡娜呐肭纳衲捺钠 "刀 dao1, 二 er4" 39 "那么 那个 那些 那样" "那 na4 (specifier) that; the; (pronoun) that (referring to persons, things or situations); then (in that case)
那么 na4me5 like that; in that way; or so; so; so very much; about; in that case
那个 na4ge5 that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex
那些 na4xie1 those
那样 na4yang4 that kind; that sort"
好 hao3 郝 "女 nü3, 子 zi5, 了 le5" 40 "不好 好像 最好 只好" "好 hao3 good; appropriate; proper; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello
不好 bu4hao3 no good
好像 hao3xiang4 as if; to seem like
最好 zui4hao3 best; (you) had better (do what we suggest)
只好 zhi3hao3 to have no other option but to ...; to have to; to be forced to"
多 duo1 剟咄裰掇㙍哆 "夕 xi1" 41 "许多 多少 多年 多么" "多 duo1 many; much; too many; in excess; (after a numeral) ... odd; (bound form) multi-; poly-
许多 xu3duo1 many; a lot of; much
多少 duo1shao5 how much?; how many?; (phone number, student id etc) what number?
多年 duo1nian2 many years; for many years; longstanding
多么 duo1me5 how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent"
为 wei2 峗潍闱维圩嵬帷涠 "力 li4" 42 "为了 认为 为什么 成为" "为 wei4 because of; for; to
为了 wei4le5 for; for the purpose of; in order to
认为 ren4wei2 to believe; to think; to consider; to feel
为什么 wei4shen2me5 why?; for what reason?
成为 cheng2wei2 to become; to turn into"
与 yu3 㺄圄瘐龉宇伛窳雨  43 "参与 与其 与会 与共" "与 yu3 and; to give; together with
参与 can1yu4 to participate (in sth)
与其 yu3qi2 rather than...
与会 yu4hui4 to participate in a meeting
与共 yu3gong4 to experience together with sb"
而 er2 鲕儿耏鸸陑  44 "而且 而是 然而 而已" "而 er2 and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
而且 er2qie3 (not only ...) but also; moreover; in addition; furthermore
而是 er2shi4 rather
然而 ran2er2 however; yet; but
而已 er2yi3 that's all; nothing more"
什 shen2 神𬬹 "十 shi2" 45 "什么 为什么 没什么 干什么" "什 shen2 what
什么 shen2me5 what?; something; anything
为什么 wei4shen2me5 why?; for what reason?
没什么 mei2shen2me5 nothing; it doesn't matter; it's nothing; never mind
干什么 gan4shen2me5 what are you doing?; what's he up to?"
么 me5   46 "什么 怎么 那么 这么" "么 ma2 exclamatory final particle
什么 shen2me5 what?; something; anything
怎么 zen3me5 how?; what?; why?
那么 na4me5 like that; in that way; or so; so; so very much; about; in that case
这么 zhe4me5 so much; this much; how much?; this way; like this"
里 li3 娌逦理俚鳢礼澧鲤 "田 tian2, 土 tu3, 囗 wei2, 十 shi2" 47 "这里 心里 家里 公里" "里 li3 lining; interior; inside; internal; li (surname); neighborhood
这里 zhe4li3 here
心里 xin1li5 chest; heart; mind
家里 jia1li3 home
公里 gong1li3 kilometer"
两 liang3 魉𬜯 "从 cong2, 人 ren2" 48 "两者 两侧 两手 两旁" "两 liang3 two; both; some; a few
两者 liang3zhe3 both sides
两侧 liang3ce4 two sides; both sides
两手 liang3shou3 one's two hands; two prongs (of a strategy); both aspects, eventualities etc; skills; expertise
两旁 liang3pang2 both sides; either side"
月 yue4 粤悦樾玥龠籥𬸚钺  49 "月份 每月 岁月 月亮" "月 yue4 moon; month; monthly
月份 yue4fen4 month
每月 mei3yue4 each month
岁月 sui4yue4 years; time
月亮 yue4liang5 the moon"
从 cong2 悰丛琮淙 "人 ren2" 50 "从来 从此 从事 从而" "从 cong2 from; through; via; to follow; to obey; to engage in (an activity); never (in negative sentence); assistant; auxiliary; subordinate; related by common paternal grandfather or earlier ancestor
从来 cong2lai2 always; at all times; never (if used in negative sentence)
从此 cong2ci3 from now on; since then; henceforth
从事 cong2shi4 to go for; to engage in; to undertake; to deal with; to handle; to do
从而 cong2er2 thus; thereby"
让 rang4  "上 shang4" 51 "转让 让步 让开 让座" "让 rang4 to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc)
转让 zhuan3rang4 to transfer (ownership, rights etc)
让步 rang4bu4 to concede; to give in; to yield; a concession; (linguistics) concessive
让开 rang4kai1 to get out of the way; to step aside
让座 rang4zuo4 to give up one's seat for sb"
下 xia4 吓罅夏 "卜 bu3" 52 "下来 下午 留下 以下" "下 xia4 down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
下来 xia4lai5 to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)
下午 xia4wu3 afternoon; p.m.
留下 liu2xia4 to leave behind; to stay behind; to remain; to keep; not to let (sb) go
以下 yi3xia4 that level or lower; that amount or less; the following"
可 ke3 渴炣岢 "丁 ding1, 口 kou3" 53 "可以 可能 可是 不可" "可 ke3 can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very
可以 ke3yi3 can; may; possible; able to; not bad; pretty good
可能 ke3neng2 might (happen); possible; probable; possibility; probability; maybe; perhaps
可是 ke3shi4 but; however; (used for emphasis) indeed
不可 bu4ke3 cannot; should not; must not"
得 de2 锝德 "彳 chi4, 旦 dan4, 寸 cun4, 日 ri4, 囗 wei2" 54 "觉得 得到 记得 获得" "得 de5 structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
觉得 jue2de5 to think that ...; to feel that ...; to feel (uncomfortable etc)
得到 de2dao4 to get; to obtain; to receive
记得 ji4de5 to remember
获得 huo4de2 to obtain; to receive; to get"
以 yi3 踦蚁倚佁矣乙酏扆 "人 ren2" 55 "可以 所以 以后 以及" "以 yi3 to use; by means of; according to; in order to; because of; at (a certain date or place)
可以 ke3yi3 can; may; possible; able to; not bad; pretty good
所以 suo3yi3 therefore; as a result; so; the reason why
以后 yi3hou4 after; later; afterwards; following; later on; in the future
以及 yi3ji2 as well as; too; and"
小 xiao3 𫍲晓筱皛 "八 ba1" 56 "小时 小说 小学 小孩" "小 xiao3 small; tiny; few; young
小时 xiao3shi2 hour
小说 xiao3shuo1 novel; fiction
小学 xiao3xue2 elementary school; primary school
小孩 xiao3hai2 child"
但 dan4 诞澹萏𫢸氮惮弹啖 "旦 dan4, 日 ri4, 囗 wei2" 57 "但是 不但 但愿 非但" "但 dan4 but; yet; however; still; merely; only; just
但是 dan4shi4 but; however
不但 bu4dan4 not only (... but also ...)
但愿 dan4yuan4 if only (sth were possible); i wish (that)
非但 fei1dan4 not only"
种 zhong3 踵肿冢 "禾 he2, 中 zhong1, 木 mu4, 十 shi2, 口 kou3" 58 "各种 某种 多种 品种" "种 zhong3 seed; species; kind; type; classifier for types, kinds, sorts
各种 ge4zhong3 every kind of; all kinds of; various
某种 mou3zhong3 some kind (of)
多种 duo1zhong3 many kinds of; multiple; diverse; multi-
品种 pin3zhong3 breed; variety"
被 bei4 棓狈碚焙鞁钡辈贝 "皮 pi2, 又 you4" 59 "被子 被迫 被动 被捕" "被 bei4 quilt; to cover (with); (literary) to suffer (a misfortune)
被子 bei4zi5 quilt
被迫 bei4po4 to be compelled; to be forced
被动 bei4dong4 passive
被捕 bei4bu3 to be arrested; under arrest"
给 gei3  "合 he2, 口 kou3, 人 ren2" 60 "交给 送给 给予 递给" "给 gei3 to; for; for the benefit of; to give; to allow; to do sth (for sb); (sentence intensifier)
交给 jiao1gei3 to give; to deliver; to hand over
送给 song4gei3 to send; to give as a present
给予 ji3yu3 to accord; to give; to show (respect)
递给 di4gei3 to hand it (i.e. the aforementioned item) to (sb)"
之 zhi1 知汁支芝禔蜘榰胝  61 "之后 之间 之前 之一" "之 zhi1 him; her; it
之后 zhi1hou4 after; behind; (at the beginning of a sentence) afterwards; since then
之间 zhi1jian1 (after a noun) between; among; amid
之前 zhi1qian2 before; prior to; ago; previously; beforehand
之一 zhi1yi1 one of (sth); one out of a multitude; one (third, quarter, percent etc)"
时 shi2 祏鲥鼫实炻蚀识湜 "日 ri4, 寸 cun4, 囗 wei2" 62 "时候 时间 当时 同时" "时 shi2 o'clock; time; when; hour; season; period
时候 shi2hou5 time; length of time; moment; period
时间 shi2jian1 time; period
当时 dang1shi2 then; at that time; while
同时 tong2shi2 at the same time; simultaneously"
日 ri4 驲 "囗 wei2" 63 "日本 日子 日期 日记" "日 ri4 sun; day; date, day of the month
日本 ri4ben3 japan
日子 ri4zi5 day; a (calendar) date; days of one's life
日期 ri4qi1 date
日记 ri4ji4 diary"
后 hou4 郈鲎候厚堠鲘逅垕 "口 kou3" 64 "然后 最后 以后 之后" "后 hou4 empress; queen; (archaic) monarch; ruler; back; behind; rear; afterwards; after; later; post-
然后 ran2hou4 then; after that; afterwards
最后 zui4hou4 final; last; finally; ultimate
以后 yi3hou4 after; later; afterwards; following; later on; in the future
之后 zhi1hou4 after; behind; (at the beginning of a sentence) afterwards; since then"
几 ji3 挤戟己掎鱾虮脊麂  65 "几乎 十几 好几 几千" "几 ji3 how much; how many; several; a few
几乎 ji1hu1 almost; nearly; practically
十几 shi2ji3 more than ten; a dozen or more
好几 hao3ji3 several; quite a few
几千 ji3qian1 several thousand"
用 yong4 㶲 "二 er4" 66 "使用 不用 引用 利用" "用 yong4 to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore
使用 shi3yong4 to use; to employ; to apply; to make use of
不用 bu4yong4 need not
引用 yin3yong4 to quote; to cite; to recommend; to appoint; (computing) reference
利用 li4yong4 to exploit; to make use of; to use; to take advantage of; to utilize"
过 guo4  "辶 chuo4, 寸 cun4" 67 "不过 过去 通过 过程" "过 guo4 to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-
不过 bu4guo4 only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)
过去 guo4qu5 (verb suffix)
通过 tong1guo4 to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test); by means of; through; via
过程 guo4cheng2 course of events; process"
三 san1 叁毵 "二 er4" 68 "三十 十三 三月 再三" "三 san1 three; 3
三十 san1shi2 thirty; 30
十三 shi2san1 thirteen; 13
三月 san1yue4 march; third month (of the lunar year)
再三 zai4san1 over and over again; again and again"
点 dian3 典碘踮 "占 zhan4, 口 kou3" 69 "有点 观点 重点 特点" "点 dian3 point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; dot stroke in chinese characters; classifier for items
有点 you3dian3 a little
观点 guan1dian3 point of view; viewpoint; standpoint
重点 zhong4dian3 important point; main point; focus; key (project etc); to focus on; to put the emphasis on
特点 te4dian3 characteristic (feature); trait; feature"
国 guo2 腘馘虢帼𬇹 "囗 wei2, 玉 yu4, 土 tu3, 十 shi2" 70 "中国 美国 国家 国际" "国 guo2 country; nation; (bound form) national
中国 zhong1guo2 china
美国 mei3guo2 united states; usa; us
国家 guo2jia1 country; nation; state
国际 guo2ji4 international"
想 xiang3 响饷享飨鲞 "相 xiang1, 心 xin1, 木 mu4, 目 mu4, 十 shi2, 囗 wei2" 71 "不想 思想 想到 想起" "想 xiang3 to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of)
不想 bu4xiang3 unexpectedly
思想 si1xiang3 thought; thinking; idea; ideology
想到 xiang3dao4 to think of; to call to mind; to anticipate
想起 xiang3qi3 to recall; to think of; to call to mind"
已 yi3 矣蚁踦乙扆倚钇酏  72 "已经 而已 早已 不已" "已 yi3 already; to stop; then; afterwards
已经 yi3jing1 already
而已 er2yi3 that's all; nothing more
早已 zao3yi3 for a long time; long since; (dialect) in the past
不已 bu4yi3 endlessly; incessantly"
次 ci4 佽刺赐伺莿 "欠 qian4, 人 ren2" 73 "每次 再次 多次 上次" "次 ci4 next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
每次 mei3ci4 every time
再次 zai4ci4 one more time; again; one more; once again
多次 duo1ci4 many times; repeatedly
上次 shang4ci4 last time"
能 neng2  "月 yue4, 匕 bi3" 74 "不能 可能 能够 只能" "能 neng2 can; to be able to; might possibly; ability; (physics) energy
不能 bu4neng2 cannot; must not; should not
可能 ke3neng2 might (happen); possible; probable; possibility; probability; maybe; perhaps
能够 neng2gou4 to be capable of; to be able to; can
只能 zhi3neng2 can only; obliged to do sth; to have no other choice"
天 tian1 黇添 "大 da4, 人 ren2" 75 "今天 每天 昨天 那天" "天 tian1 day; sky; heaven
今天 jin1tian1 today; at the present; now
每天 mei3tian1 every day; everyday
昨天 zuo2tian1 yesterday
那天 na4tian1 that day; the other day"
没 mei2 酶眉郿煤镅糜湄莓 "殳 shu1, 又 you4" 76 "没什么 没想到 没事 没了" "没 mei2 (negative prefix for verbs) have not; not
没什么 mei2shen2me5 nothing; it doesn't matter; it's nothing; never mind
没想到 mei2xiang3dao4 didn't expect
没事 mei2shi4 it's not important; it's nothing; never mind; to have nothing to do; to be free; to be all right (out of danger or trouble)
没了 mei2le5 to be dead; not to be, or cease to exist"
